date,lidao-1.0,lidao-SPX,lidao-NASDAQ
2024-04-19,-22.37,-9.28,-31.81
2024-04-22,-30.89,-7.72,-30.08
2024-04-23,-38.27,1.49,-25.62
2024-04-24,-31.07,9.16,-22.53
2024-04-25,-31.12,7.04,-19.01
2024-04-26,-28.76,8.84,-6.62
2024-04-29,-17.05,16.12,-1.83
2024-04-30,-22.39,2.24,-14.84
2024-05-01,-21.54,0.21,-13.87
2024-05-02,-8.92,4.67,-12.51
2024-05-03,6.56,7.32,-5.83
2024-05-06,16.55,10.48,1.02
,,,
2024-05-13,77.49,28.83,10.65
2024-05-14,97.75,32.82,16.02
2024-05-15,122.97,37.62,19.55
2024-05-16,140.94,34.52,20.26
2024-05-17,156.62,37.72,20.85
